,method,input_name,gamma,inc,idef,total_time,max_mem,timestamp,n_vars,n_worlds,n_params,n_edges,also_idef,optimizer,graph_id
35,opt_dist,0--torch(lbfgs)--gamma1e-08,1.0000001e-08,,11.068042180067348,152.01369881629944,-1,2022-10-01 01:33:01.622461,10,1024,326,34,,lbfgs,0
36,opt_dist,0--torch(lbfgs)--gamma1e-04,0.000100000000001,,11.020384505243381,153.47024655342102,-1,2022-10-01 01:33:03.084728,10,1024,326,34,,lbfgs,0
37,opt_dist,0--torch(lbfgs)--gamma1e+00,1.000000000000001,,2.2507644812315695,153.5458688735962,-1,2022-10-01 01:33:03.204246,10,1024,326,34,,lbfgs,0
38,opt_dist,0--torch(asgd)--gamma1e-12,1.001e-12,3.348786388476669,8.999999999999998,157.29504013061523,-1,2022-10-01 01:33:06.918351,10,1024,326,34,,asgd,0
39,opt_dist,1--torch(adam)--gamma1e-12,1.001e-12,,8.188035852252145,157.38540625572205,-1,2022-10-01 01:33:07.096891,10,1024,224,27,,adam,1
40,opt_dist,1--torch(adam)--gamma1e-04,0.000100000000001,,8.184722076562853,154.01925134658813,-1,2022-10-01 01:33:12.988728,10,1024,224,27,,adam,1
41,opt_dist,1--torch(asgd)--gamma1e-08,1.0000001e-08,2.1047589906426234,5.999999999999998,157.0047242641449,-1,2022-10-01 01:33:13.048859,10,1024,224,27,,asgd,1
42,opt_dist,1--torch(asgd)--gamma1e-02,0.010000000000001,2.1047589906426234,5.999999999999998,122.02731037139893,-1,2022-10-01 01:33:14.152815,10,1024,224,27,,asgd,1
43,opt_dist,1--torch(asgd)--gamma1e+00,1.000000000000001,2.1047589906426234,5.999999999999998,90.04295682907104,-1,2022-10-01 01:33:17.925667,10,1024,224,27,,asgd,1
44,cvx_opt_joint,cvx-idef,1e-15,0.15251058227053382,8.375266509094313,64.42098784446716,-1,2022-10-01 01:33:22.796551,10,1024,484,39,False,,2
45,cccp_opt_joint,2--cccp--gamma1e-12,1.001e-12,0.1525105418097878,8.375884559279395,57.982529401779175,-1,2022-10-01 01:33:26.071831,10,1024,484,39,,,2
46,opt_dist,1--torch(adam)--gamma1e+00,1.000000000000001,,4.267758431059799,129.005539894104,-1,2022-10-01 01:33:36.377384,10,1024,224,27,,adam,1
47,opt_dist,0--torch(asgd)--gamma1e-08,1.0000001e-08,3.348786388476669,8.999999999999998,189.13971996307373,-1,2022-10-01 01:33:38.910103,10,1024,326,34,,asgd,0
48,opt_dist,0--torch(adam)--gamma1e-12,1.001e-12,,9.985430098451204,189.26071691513062,-1,2022-10-01 01:33:38.967443,10,1024,326,34,,adam,0
49,opt_dist,0--torch(asgd)--gamma2e+00,2.000000000000001,3.348786388476669,8.999999999999998,189.2356472015381,-1,2022-10-01 01:33:39.038491,10,1024,326,34,,asgd,0
50,opt_dist,0--torch(asgd)--gamma1e-02,0.010000000000001,3.348786388476669,8.999999999999998,189.33937883377075,-1,2022-10-01 01:33:39.087900,10,1024,326,34,,asgd,0
51,opt_dist,0--torch(adam)--gamma1e-02,0.010000000000001,,9.546997616394396,189.36228275299072,-1,2022-10-01 01:33:39.115698,10,1024,326,34,,adam,0
52,opt_dist,0--torch(asgd)--gamma1e+00,1.000000000000001,3.348786388476669,8.999999999999998,189.38633036613464,-1,2022-10-01 01:33:39.126067,10,1024,326,34,,asgd,0
53,opt_dist,0--torch(adam)--gamma1e-04,0.000100000000001,,9.980784831237287,189.48837566375732,-1,2022-10-01 01:33:39.170316,10,1024,326,34,,adam,0
54,cccp_opt_joint,2--cccp--gamma1e-04,0.000100000000001,0.15251164857097774,8.275128994922412,37.30835747718811,-1,2022-10-01 01:33:41.407551,10,1024,484,39,,,2
55,opt_dist,1--torch(lbfgs)--gamma1e-04,0.000100000000001,,8.155839541186895,184.64704585075378,-1,2022-10-01 01:33:43.877543,10,1024,224,27,,lbfgs,1
